branch_seed,step,loss,accuracy,inner_loss_before,inner_loss_after,inner_gradient_norm,update_norm,selected_etas,backtracking_trials,eta_zero_fraction,armijo_violations,finite
seed7_P_O0_resume,1,0.6908464431762695,0.65625,0.7900731563568115,0.3796054720878601,3.2124617099761963,0.16062307357788086,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,2,0.5584331154823303,0.84375,0.8507808446884155,0.4310009777545929,3.2251105308532715,0.16125552356243134,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,3,0.5812665820121765,0.90625,0.831645131111145,0.3592756688594818,3.4874308109283447,0.17437154054641724,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,4,0.6707916855812073,0.65625,0.7917598485946655,0.3489595651626587,3.3672306537628174,0.16836154460906982,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,5,0.6442680954933167,0.8125,0.8033890724182129,0.3949669599533081,3.2328052520751953,0.1616402566432953,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,6,0.6038572192192078,0.75,0.8527331352233887,0.4049779772758484,3.3581559658050537,0.16790780425071716,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,7,0.678810715675354,0.6875,0.9573639035224915,0.47971463203430176,3.362459421157837,0.16812297701835632,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,8,0.5619339942932129,0.96875,0.7643882036209106,0.36341023445129395,3.189582586288452,0.15947912633419037,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,9,0.5870231986045837,0.71875,0.9372091293334961,0.5248267650604248,3.087923288345337,0.1543961763381958,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,10,0.5519288182258606,0.84375,0.8976870775222778,0.48905444145202637,3.1180126667022705,0.15590062737464905,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,11,0.5871487259864807,0.96875,0.8832895755767822,0.38971689343452454,3.5215466022491455,0.17607733607292175,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,12,0.6831271052360535,0.53125,0.8902620077133179,0.4093906283378601,3.4800918102264404,0.17400458455085754,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,13,0.5393000245094299,0.9375,0.9698916077613831,0.5606008768081665,3.04422664642334,0.15221133828163147,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,14,0.6376891136169434,0.75,0.7632150053977966,0.3429868221282959,3.3015177249908447,0.16507588326931,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,15,0.556167483329773,0.96875,0.8509680032730103,0.47386589646339417,2.975740432739258,0.1487870216369629,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,16,0.6226239800453186,0.8125,0.7549035549163818,0.3526213765144348,3.1891016960144043,0.1594550907611847,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,17,0.7221918702125549,0.5,0.8833510875701904,0.5241619348526001,2.8508553504943848,0.1425427794456482,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,18,0.6598919034004211,0.65625,0.9864331483840942,0.5713818073272705,3.0712103843688965,0.15356051921844482,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,19,0.7264874577522278,0.625,0.8663469552993774,0.46631526947021484,3.0649752616882324,0.15324878692626953,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,20,0.5083289742469788,0.8125,0.8595705032348633,0.48321521282196045,2.99641752243042,0.14982087910175323,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,21,0.5541276931762695,0.84375,0.8240392208099365,0.34883785247802734,3.4945924282073975,0.1747296154499054,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,22,0.6055424213409424,0.59375,0.8538823127746582,0.4373198449611664,3.2091970443725586,0.16045986115932465,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,23,0.6405522227287292,0.625,0.8581058979034424,0.46867507696151733,3.0550217628479004,0.1527511030435562,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,24,0.615308940410614,0.90625,0.847470223903656,0.3966406583786011,3.3568716049194336,0.16784358024597168,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,25,0.5427708029747009,0.78125,0.887566089630127,0.5074347257614136,2.9608521461486816,0.14804261922836304,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,26,0.6314734816551208,0.6875,0.8778897523880005,0.49345719814300537,3.0012283325195312,0.15006141364574432,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,27,0.617058277130127,0.6875,0.8524885773658752,0.427978515625,3.1735424995422363,0.1586771309375763,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,28,0.6045289039611816,0.84375,0.8762533664703369,0.42580559849739075,3.30694580078125,0.16534727811813354,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,29,0.5899214744567871,0.71875,0.857109010219574,0.44066160917282104,3.1775426864624023,0.15887713432312012,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,30,0.6135149598121643,0.875,0.9347351789474487,0.5410411953926086,3.0210914611816406,0.15105459094047546,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,31,0.6234958171844482,0.71875,0.7388143539428711,0.32603245973587036,3.2867794036865234,0.16433897614479065,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,32,0.6108136773109436,0.875,0.786162793636322,0.3778002858161926,3.2020130157470703,0.16010065376758575,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,33,0.6296165585517883,0.71875,0.7441756725311279,0.3477727472782135,3.1906676292419434,0.15953338146209717,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,34,0.5085384845733643,0.90625,0.8685275316238403,0.49906018376350403,2.9434399604797363,0.1471720039844513,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,35,0.5521712303161621,0.75,0.8951650261878967,0.49392029643058777,3.1014833450317383,0.15507417917251587,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,36,0.5989829897880554,0.71875,0.8495415449142456,0.44710177183151245,3.1118428707122803,0.155592143535614,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,37,0.5385422706604004,0.90625,0.8032135367393494,0.41917097568511963,3.0754504203796387,0.1537725180387497,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,38,0.6501302719116211,0.71875,0.9201053977012634,0.4947222173213959,3.122802495956421,0.15614011883735657,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,39,0.46674296259880066,0.9375,0.8121262788772583,0.4476907253265381,2.964824676513672,0.14824123680591583,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,40,0.46989983320236206,0.90625,0.9434906244277954,0.49184995889663696,3.270258665084839,0.1635129302740097,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,41,0.6310316324234009,0.8125,0.869490385055542,0.43002989888191223,3.2609992027282715,0.16304996609687805,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
seed7_P_O0_resume,42,0.7937140464782715,0.5,0.8877934813499451,0.48722749948501587,3.0313923358917236,0.15156961977481842,"[0.05, 0.05, 0.05, 0.05]","[0, 0, 0, 0]",0.0,0,True
