state_id,seed,branch,step,phase,regime,episode_seed,index,query_index,A0_nll,A0_accuracy,lambda_0_nll,lambda_0_accuracy,lambda_1_nll,lambda_1_accuracy,lambda_2_nll,lambda_2_accuracy,lambda_3_nll,lambda_3_accuracy,lambda_4_nll,lambda_4_accuracy,lambda_5_nll,lambda_5_accuracy,lambda_6_nll,lambda_6_accuracy,attention_entropy,effective_token_count
seed7_original_P,7,original_P,0,calibration,easy,4000700000,0,0,5.4238757002167404e-05,1.0,5.4238757002167404e-05,1.0,5.23315102327615e-05,1.0,5.066266385256313e-05,1.0,4.732496745418757e-05,1.0,4.017272294731811e-05,1.0,3.528532761265524e-05,1.0,5.1377883210079744e-05,1.0,2.358635187149048,10.576506614685059
seed7_original_P,7,original_P,0,calibration,easy,4000700000,0,1,0.003496843855828047,1.0,0.003496843855828047,1.0,0.0034378019627183676,1.0,0.0033814890775829554,1.0,0.0032768147066235542,1.0,0.0030163289047777653,1.0,0.0027140469755977392,1.0,0.002382299629971385,1.0,2.348243236541748,10.467164993286133
seed7_original_P,7,original_P,0,calibration,easy,4000700000,0,2,0.0031190102454274893,1.0,0.0031190102454274893,1.0,0.0030618475284427404,1.0,0.003007890423759818,1.0,0.00290971458889544,1.0,0.002682660473510623,1.0,0.002479932736605406,1.0,0.0024922997690737247,1.0,2.182170867919922,8.865530967712402
seed7_original_P,7,original_P,0,calibration,easy,4000700000,0,3,2.8013790142722428e-05,1.0,2.8013790142722428e-05,1.0,2.729855441430118e-05,1.0,2.682172998902388e-05,1.0,2.5748875486897305e-05,1.0,2.407998726994265e-05,1.0,2.455681169521995e-05,1.0,3.516612196108326e-05,1.0,2.468108654022217,11.800107955932617
seed7_original_P,7,original_P,0,calibration,easy,4000700000,0,4,0.0028956886380910873,1.0,0.0028956886380910873,1.0,0.0028377999551594257,1.0,0.002782760886475444,1.0,0.002680045086890459,1.0,0.002422614488750696,1.0,0.0021175360307097435,1.0,0.0017602439038455486,1.0,2.248589038848877,9.474358558654785
seed7_original_P,7,original_P,0,calibration,easy,4000700000,0,5,0.0043445490300655365,1.0,0.0043445490300655365,1.0,0.004269413650035858,1.0,0.004197596572339535,1.0,0.00406344560906291,1.0,0.003725375747308135,1.0,0.0033222027122974396,1.0,0.0028539663180708885,1.0,2.450571298599243,11.594969749450684
seed7_original_P,7,original_P,0,calibration,easy,4000700000,0,6,0.0006354220095090568,1.0,0.0006354220095090568,1.0,0.0006578188622370362,1.0,0.0006812873762100935,1.0,0.0007309625507332385,1.0,0.0009054613183252513,1.0,0.001301514101214707,1.0,0.0027119070291519165,1.0,2.3867971897125244,10.878595352172852
seed7_original_P,7,original_P,0,calibration,easy,4000700000,0,7,0.004486376419663429,1.0,0.004486376419663429,1.0,0.004375170916318893,1.0,0.004269294906407595,1.0,0.004073181189596653,1.0,0.0035943682305514812,1.0,0.0030768217984586954,1.0,0.002678499324247241,1.0,2.238767147064209,9.381757736206055
seed7_original_P,7,original_P,0,calibration,easy,4000700001,1,0,0.0033189947716891766,1.0,0.0033189947716891766,1.0,0.0033762615639716387,1.0,0.0034359011333435774,1.0,0.0035622967407107353,1.0,0.004011442419141531,1.0,0.005087999626994133,1.0,0.009760985150933266,1.0,3.0538277626037598,21.19632339477539
seed7_original_P,7,original_P,0,calibration,easy,4000700001,1,1,0.005288895219564438,1.0,0.005288895219564438,1.0,0.005118954926729202,1.0,0.004955391399562359,1.0,0.004646575544029474,1.0,0.0038512598257511854,1.0,0.002877739956602454,1.0,0.0017939202953130007,1.0,3.0768580436706543,21.69014549255371
