method,regime,metric,mean_seed_means,std_seed_means,pooled_count,p05,median,p95
P,easy,alignment.cosine,0.011109693170680354,0.05037046467157043,300,-0.22950533032417297,0.017842882312834263,0.2335591807961465
P,easy,alignment.dot,1.1870437793278446,1.85458322795612,300,-7.012942123413085,0.16574987024068832,11.636315441131593
P,easy,alignment.gradient_norm,3.5856047519048055,0.4781310830403909,300,2.8440859079360963,3.6502305269241333,4.293320202827454
P,easy,alignment.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.6241953343153,8.114083290100098,27.248895549774172
P,easy,alignment.predicted_task_nll_delta,-0.05935218896639224,0.09272916139780601,300,-0.5818157720565795,-0.008287493512034417,0.35064710617065475
P,easy,alignment.actual_task_nll_delta,0.030194775460598372,0.08311289658521999,300,-0.3620945483446121,0.028475621715188026,0.45033098459243787
P,easy,alignment.episode_nll_improves,0.39333333333333337,0.146401275039985,300,0.0,0.0,1.0
P,easy,alignment.query_nll_improves_fraction,0.3175,0.10515613391524052,300,0.0,0.25,0.875
P,easy,alignment.positive_alignment,0.5499999999999999,0.17776388834631177,300,0.0,1.0,1.0
P,easy,alignment.normal_output_max_error,0.0,0.0,300,0.0,0.0,0.0
P,easy,eta.0.0.accuracy,0.7758333333333334,0.09995571936279249,300,0.25,0.875,1.0
P,easy,eta.0.0.nll,0.5559194744362806,0.20889473537059772,300,0.02851496515795589,0.3366798311471939,1.7930660724639893
P,easy,eta.0.0.margin,0.2071880392326663,0.013715260003289792,300,-0.09160979762673378,0.22383016347885132,0.4639766976237298
P,easy,eta.0.0.query_nll,0.5559194752642118,0.20889473712190973,2400,0.004293782939203084,0.13248343765735626,2.629509699344633
P,easy,eta.0.0.update_norm,0.0,0.0,300,0.0,0.0,0.0
P,easy,eta.0.0.accuracy_delta,0.0,0.0,300,0.0,0.0,0.0
P,easy,eta.0.0.nll_delta,0.0,0.0,300,0.0,0.0,0.0
P,easy,eta.0.0.margin_delta,0.0,0.0,300,0.0,0.0,0.0
